Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
6,1982,66,95,77,85,72.4,91.5,81.9,6.29,1.99
7,1982,71,98,77,88,74.5,93.4,84,1.51,0.75
8,1982,72,101,78,82,75.5,93.4,84.4,4.76,2.33
9,1982,57,96,79,79,71.2,90,80.6,1.89,0.87
10,1982,45,91,77,63,61.5,80.5,71,1.7,0.73
11,1982,39,86,68,54,53.1,71.1,62.1,7.16,2.4
12,1982,31,79,74,47,47.8,65.3,56.6,4.82,2.04
1,1983,32,76,58,43,42.6,60.6,51.6,2.59,1.1
2,1983,34,75,55,51,45.1,62.4,53.8,6.01,2.27
3,1983,36,82,64,56,49,69.9,59.4,3.89,2
4,1983,42,85,71,56,56.1,74.5,65.3,0.16,0.05
5,1983,53,90,74,75,65.2,82.8,74,5.5,2.92
6,1983,64,95,78,77,71.2,88.2,79.7,4.26,2.43
7,1983,45,96,80,77,74.2,90.6,82.4,7.37,2.63
8,1983,72,96,78,78,75.6,90.4,83,7.67,1.97
9,1983,53,93,76,72,69.4,85.4,77.4,8.72,2.7
10,1983,47,91,75,72,62.5,80.7,71.6,3.79,1.45
11,1983,37,84,73,59,54.9,73.3,64.1,2.98,0.8
12,1983,13,82,67,27,38.3,55.5,46.9,3.53,1.04
1,1984,23,74,55,36,40.6,56.5,48.5,4.03,1.93
2,1984,31,81,65,50,46.4,66.2,56.3,3.27,0.8
3,1984,35,85,68,60,54,72.5,63.2,1.93,0.76
4,1984,46,88,74,69,59.3,80.3,69.8,0.2,0.11
5,1984,50,96,76,77,67.4,85.7,76.6,3.17,1.99
6,1984,56,97,78,80,70.9,88.6,79.8,2.18,1.86
7,1984,70,97,75,88,73.3,91.6,82.5,4.82,2.62
8,1984,70,94,76,86,73.4,90.6,82,7.69,4.18
9,1984,54,94,75,70,69.5,85.3,77.4,5.34,1.85
10,1984,49,89,77,64,67.4,82.4,74.9,10.84,1.87
11,1984,33,88,70,51,51.7,71.4,61.6,2.73,1.48
12,1984,30,81,70,47,57.1,72.6,64.8,3.52,1.25
1,1985,20,74,59,37,38.9,57.3,48.1,2.17,0.89
2,1985,24,75,68,31,44.7,60.1,52.4,6.94,2.88
3,1985,48,83,72,59,59.3,74,66.6,5.48,2.33
4,1985,49,90,74,69,63.3,79.9,71.6,0.87,0.32
5,1985,61,93,75,78,69,85.9,77.4,1.52,0.84
6,1985,66,95,79,78,74.1,89.6,81.8,4.86,3.35
7,1985,70,95,76,75,73.1,89.7,81.4,3.47,1.4
8,1985,71,98,78,86,74.1,92.2,83.2,2.37,0.71
9,1985,55,98,78,69,72.4,87.7,80,5.04,1.7
10,1985,54,89,77,63,66.6,79.8,73.2,4.9,1.52
11,1985,46,82,73,58,59.8,74.8,67.3,7.27,4.28
12,1985,27,77,63,42,43.7,61.6,52.7,2.65,2.24
1,1986,36,79,58,42,46.8,65.7,56.3,1.11,0.42
2,1986,33,87,64,45,52.2,70.4,61.3,2.71,1.31
3,1986,36,83,68,64,54.7,75.2,65,1.5,0.85
4,1986,51,90,72,62,63.3,80,71.7,1.13,0.55
5,1986,59,89,75,73,68.1,83.3,75.7,3.85,1.33
6,1986,71,95,77,82,74.2,89.1,81.6,10.1,4.86
7,1986,73,99,77,88,75.6,94.4,85,0.23,0.19
8,1986,68,99,79,80,75.1,91.4,83.2,5.56,1.74
9,1986,72,92,78,81,75.9,88.4,82.2,5.53,1.93
10,1986,52,91,78,58,62.7,78,70.4,5.98,2.32
11,1986,38,84,74,49,57,70.1,63.5,9.48,3.11
12,1986,38,78,64,42,47.1,59.3,53.2,6.64,2.82
1,1987,29,77,59,44,43.5,60.7,52.1,2.82,1.41
2,1987,35,79,61,48,49.2,64.5,56.8,4.45,1.69
3,1987,32,80,63,55,50.2,70.9,60.5,0.41,0.26
4,1987,36,92,68,60,55.5,81.2,68.4,0.06,0.03
5,1987,63,88,76,76,69.6,84.1,76.8,6.17,2.29
6,1987,71,98,78,79,74.5,88.4,81.4,9.31,1.82
7,1987,72,94,80,85,76.2,91.1,83.6,8.66,2.63
8,1987,72,97,79,82,76.6,93.8,85.2,3.15,1.99
9,1987,59,95,77,77,70.6,88,79.3,1.89,0.94
10,1987,50,86,70,72,59.5,79.7,69.6,0.75,0.38
11,1987,38,86,69,56,51.7,71,61.4,3.16,1.66
12,1987,35,79,69,41,48.6,65.1,56.8,3.27,1.67
1,1988,27,77,63,33,40.6,57.9,49.3,1.14,0.52
2,1988,26,80,66,40,45.9,63.6,54.8,0.63,0.2
3,1988,35,85,67,53,52.2,70.7,61.5,5.02,1.88
4,1988,42,89,72,67,58.4,78.2,68.3,2.2,1.74
5,1988,57,91,74,76,64.8,83.7,74.3,0.49,0.34
6,1988,65,93,76,82,71.2,89.3,80.3,2.63,1.27
7,1988,70,96,79,83,75,90.6,82.8,3.81,1.62
8,1988,73,100,79,87,76.5,93.5,85,1.17,0.9
9,1988,65,93,80,78,72.1,88.2,80.2,4.32,1.13
10,1988,55,87,70,67,63.2,81.2,72.2,2.95,1.23
11,1988,40,88,71,62,56.7,76.1,66.4,1.12,0.73
12,1988,34,78,65,48,47.5,66.2,56.9,1.17,0.26
1,1989,19,82,69,43,50,66.6,58.3,6.35,2.24
2,1989,24,81,69,28,46.6,60.3,53.4,0.6,0.25
3,1989,26,90,71,41,51.8,71,61.4,2.07,1.15
4,1989,44,87,72,59,60.9,77.9,69.4,1.43,0.47
5,1989,62,92,77,76,70,85.8,77.9,6.21,1.72
6,1989,63,94,78,76,73.3,86.5,79.9,17.35,7.24
7,1989,70,95,78,80,75.5,89.6,82.5,2.27,0.87
8,1989,66,95,78,79,74.8,89.4,82.1,9.95,8.58
9,1989,55,97,82,75,70.2,86.9,78.6,0.56,0.31
10,1989,37,91,72,61,61,81.6,71.3,3.4,2.65
11,1989,40,88,72,51,56.2,72.6,64.4,2.52,0.82
12,1989,9,77,60,26,35.9,55.6,45.7,0.59,0.16
1,1990,38,77,69,51,50,66.9,58.4,0,0
2,1990,41,80,68,53,52.2,69,60.6,3.95,1.14
3,1990,44,79,70,54,56.5,71.7,64.1,4.47,1.28
4,1990,47,86,73,64,61.9,77.8,69.8,4.37,2.56
5,1990,59,93,77,71,70.8,84.8,77.8,3.89,1.23
6,1990,74,97,80,88,76.3,93.7,85,1.97,1.5
7,1990,66,95,78,78,74.8,90.6,82.7,2.07,0.56
8,1990,72,103,79,88,75.5,94.3,84.9,1.69,1.16
9,1990,58,96,77,75,72.6,88.4,80.5,4.89,1.75
10,1990,47,92,76,65,59.3,79.8,69.5,2.83,1.58
11,1990,41,83,73,59,54.7,74.2,64.5,3.04,2.12
12,1990,21,81,72,31,45.5,64.5,55,2.73,1.5
1,1991,34,70,57,45,44.5,58.4,51.4,9.58,1.99
2,1991,38,78,67,55,50.1,66.9,58.5,5.76,2.59
3,1991,44,83,71,57,56.8,73.9,65.4,1.85,0.86
4,1991,47,88,77,67,66.4,80.1,73.3,10.25,2.99
5,1991,60,92,77,76,71.3,85.6,78.4,8.56,4.26
6,1991,71,94,79,79,74.5,89.6,82.1,10.85,2.85
7,1991,73,97,79,84,76.4,92.4,84.4,2.13,0.69
8,1991,73,96,79,84,76.6,92.3,84.5,2.13,0.67
9,1991,58,93,77,77,71.3,86.9,79.1,8.53,2.25
10,1991,45,94,75,71,63.9,84.2,74,2.62,2.05
11,1991,34,80,72,49,50.6,68.1,59.3,4.04,1.96
12,1991,36,79,71,51,52.9,65.5,59.2,7.03,2.68
1,1992,30,75,59,45,46.8,61.4,54.1,7.3,1.68
2,1992,40,84,67,53,52.4,69,60.7,7.5,2.4
3,1992,42,84,67,52,56.7,74.2,65.5,4.15,1.59
4,1992,48,86,73,59,61,78.2,69.6,4.64,1.97
5,1992,52,90,74,70,66.4,82.2,74.3,7.86,2.23
6,1992,68,95,78,84,74,91.3,82.7,5.57,1.74
7,1992,72,95,80,79,76.1,91.5,83.8,4.5,1.59
8,1992,65,97,77,84,73,89.7,81.3,3.21,1.13
9,1992,60,95,77,80,72.4,88,80.2,4.59,2.37
10,1992,55,87,72,76,62.3,82.8,72.5,1.47,1.34
11,1992,29,86,68,48,49.6,66.5,58.1,9.74,3.08
12,1992,39,77,65,51,49.9,66,58,3.92,1.88
1,1993,36,77,61,51,46.7,62.9,54.8,6.67,2.27
2,1993,40,81,62,52,49.7,66.3,58,2.43,0.86
3,1993,32,84,69,50,54,71,62.5,5.77,2.94
4,1993,47,84,70,64,58.2,75.4,66.8,5.19,1.44
5,1993,55,89,73,74,66.5,82.3,74.4,4.78,1.08
6,1993,66,94,78,79,75,88.1,81.6,8.93,2.09
7,1993,74,95,78,87,76.4,92.4,84.4,3.59,1.47
8,1993,75,97,79,84,76.5,93.9,85.2,1.11,0.46
9,1993,58,95,80,76,71.9,90.1,81,1.55,1.04
10,1993,33,90,74,50,61.7,79.5,70.6,11.62,7.02
11,1993,30,81,73,43,49.4,67.2,58.3,7.13,3.76
12,1993,32,79,68,46,47.9,64.3,56.1,2.32,0.97
1,1994,32,77,67,45,45.6,62.2,53.9,2.61,0.88
2,1994,27,79,69,38,47.8,65,56.4,1.08,0.44
3,1994,37,81,68,61,54.3,73.1,63.7,1.82,1.2
4,1994,43,85,74,63,61.3,78,69.6,4.13,1.12
5,1994,56,90,74,68,67.3,83.9,75.6,7.67,4.38
6,1994,72,94,79,80,74.2,89.2,81.7,6.86,1.78
7,1994,68,97,78,87,75.1,93.1,84.1,0.36,0.17
8,1994,70,97,77,83,74.2,90.5,82.3,3.82,1.7
9,1994,54,93,77,79,69.1,87.7,78.4,1.85,0.55
10,1994,51,91,76,63,63.5,80.6,72.1,19.4,7.86
11,1994,44,86,75,59,57.9,75,66.5,0.32,0.11
12,1994,37,82,67,49,50.3,65.8,58,8.73,3.43
1,1995,34,77,67,44,45.6,63.3,54.5,6.13,2.17
2,1995,37,79,62,45,48.9,68.1,58.5,0,0
3,1995,33,85,71,49,54.6,70.7,62.7,5.68,1.93
4,1995,22,86,73,67,57.2,77.8,67.5,3.2,2.22
5,1995,58,90,78,76,69.4,85.2,77.3,7.35,2.86
6,1995,64,95,80,79,71.4,88.9,80.2,3.83,1.18
7,1995,71,99,78,82,75.5,92.5,84,4.1,1.81
8,1995,73,97,80,81,76.3,92.6,84.5,2.14,0.39
9,1995,56,98,78,72,72.3,90.9,81.6,4.58,2.11
10,1995,44,91,75,68,61.2,80.7,71,2.67,1.69
11,1995,37,86,72,54,52.7,71.9,62.3,4.58,2.2
12,1995,31,84,71,44,48.9,65.5,57.2,6.5,4.18
1,1996,23,78,61,41,41.5,63.3,52.4,1.75,0.84
2,1996,24,86,67,34,48.8,68.7,58.8,1.18,0.64
3,1996,30,85,65,50,47.5,68.2,57.9,0.26,0.14
4,1996,43,91,72,65,58,79.4,68.7,1.62,1.02
5,1996,51,95,79,78,71.2,88,79.6,0.31,0.27
6,1996,65,96,76,82,72.9,90.4,81.6,9.31,3.3
7,1996,71,97,80,88,76.1,94,85,0.16,0.13
8,1996,72,97,78,78,74.5,90.3,82.4,8.64,1.23
9,1996,56,93,78,74,71.1,87.1,79.1,6.99,1.72
10,1996,44,89,74,68,63.7,80.7,72.2,2.25,0.86
11,1996,36,85,69,48,54.1,73.3,63.7,1.53,1.1
12,1996,25,80,66,40,49.7,68,58.9,2.81,1.34
1,1997,30,78,68,34,44.7,60,52.4,6.52,4.1
2,1997,35,80,66,50,49.6,64.5,57.1,6.75,3.54
3,1997,43,84,70,61,57.7,73.9,65.8,6.06,1.86
4,1997,44,85,69,60,56.8,73.4,65.1,9.01,3.9
5,1997,57,90,74,70,67,83,75,8.61,2.46
6,1997,64,95,78,85,73.1,89.6,81.4,6.29,2.31
7,1997,74,96,79,89,76.6,93.9,85.3,2.52,0.67
8,1997,71,98,79,85,76,93.3,84.7,1.97,0.83
9,1997,61,96,77,80,72.1,89.6,80.8,9.26,3.86
10,1997,45,90,76,59,63.5,79,71.3,10.38,2.61
11,1997,37,80,66,50,51,67.4,59.2,2.17,0.62
12,1997,32,80,60,46,44.1,63.7,53.9,7.25,2.2
1,1998,39,81,66,58,51.1,69.5,60.3,7.47,3.97
2,1998,38,78,63,54,49,66.3,57.7,4.62,1.03
3,1998,38,82,71,51,53.3,71.1,62.2,2.78,2.28
4,1998,48,89,73,60,59.4,79.1,69.3,0.76,0.53
5,1998,60,100,78,83,71,91.2,81.1,0.01,0.01
6,1998,68,101,83,80,77.4,95,86.2,2.49,1.08
7,1998,71,102,80,85,76.6,96.6,86.6,2.21,1.45
8,1998,73,101,81,82,76.8,94.1,85.4,4.31,1.45
9,1998,73,96,78,77,75.7,90.1,82.9,10.48,6.51
10,1998,50,93,77,71,66.3,82.3,74.3,8.41,2.83
11,1998,46,83,68,58,57.5,73.1,65.3,6.92,2.76
12,1998,29,82,70,37,47.4,65,56.2,3.09,1.99
1,1999,29,79,69,44,48.5,68.2,58.4,3.89,2.12
2,1999,37,82,69,59,54.2,73,63.6,0.63,0.43
3,1999,38,84,68,57,56,72.9,64.5,3.48,1.15
4,1999,45,89,73,67,64.3,82,73.1,0.76,0.38
5,1999,59,92,76,77,68.5,86,77.3,6.41,2.57
6,1999,71,91,80,84,74.6,88.1,81.4,6.77,1.45
7,1999,72,101,79,85,75.4,90.9,83.2,3.76,1.24
8,1999,72,101,80,91,76.7,96.1,86.4,0.68,0.49
9,1999,57,97,76,75,69.5,90.2,79.9,1.53,0.88
10,1999,46,91,74,62,60.2,82.1,71.1,0.66,0.29
11,1999,36,84,69,57,52.7,76.4,64.6,1.48,1.38
12,1999,35,78,69,50,45,67.1,56,3.9,1.2
1,2000,32,81,68,42,49.6,67.8,58.7,2.15,1.34
2,2000,38,80,67,54,54,72.2,63.1,1.44,0.58
3,2000,44,86,70,65,58.9,76.6,67.8,1.74,0.99
4,2000,46,87,72,68,60.7,79.6,70.2,4.6,1.71
5,2000,62,91,78,74,71.2,86.3,78.7,6.53,2.16
6,2000,66,95,77,81,74.3,90.2,82.3,2.4,0.78
7,2000,71,101,77,90,74.5,95.8,85.2,1.54,0.75
8,2000,72,104,78,89,75.1,95.4,85.3,2.1,1.35
9,2000,53,108,80,74,70.5,90.4,80.5,5.09,1.9
10,2000,46,92,75,52,64.6,80,72.3,5.71,2.04
11,2000,37,85,72,46,51.6,67.9,59.7,9.83,2.63
12,2000,30,79,57,42,41.2,57.6,49.4,2.67,0.86
1,2001,29,76,60,38,42.5,59.1,50.8,4.55,1.35
2,2001,35,82,69,51,52.7,68.6,60.6,0.49,0.23
3,2001,43,82,61,56,49.6,67.7,58.7,6.48,1.42
4,2001,52,87,74,68,64.9,80.5,72.7,0.46,0.14
5,2001,58,91,76,82,67.8,86.3,77.1,3.32,1.88
6,2001,69,92,80,80,73,89.1,81,23.2,8.53
7,2001,71,97,77,82,75.7,92,83.8,3.01,1.16
8,2001,72,96,79,78,75.4,91.6,83.5,12.03,5.09
9,2001,57,96,77,74,70.2,86.4,78.3,8.81,2.87
10,2001,48,88,74,67,59.7,79,69.4,6.16,1.91
11,2001,34,84,70,48,55.8,75,65.4,5.79,3.05
12,2001,34,80,69,47,49.4,66.5,57.9,7.38,1.77
1,2002,27,80,70,44,46.7,66.8,56.8,2.05,1.26
2,2002,25,80,66,45,43.6,63.8,53.7,1.26,0.56
3,2002,27,87,71,46,53.5,72.3,62.9,3.5,2.17
4,2002,54,90,73,69,65.6,80.9,73.3,5.39,5.38
5,2002,54,91,77,73,68.8,84.8,76.8,4.8,3.28
6,2002,69,96,78,80,73.4,88.7,81.1,3.66,1.77
7,2002,71,95,79,82,75.5,90.9,83.2,8.55,2.29
8,2002,70,97,79,76,75.4,91.3,83.3,8.39,5.52
9,2002,64,96,77,79,72.2,87.9,80.1,3.53,0.8
10,2002,50,93,75,67,65.5,79,72.3,9.99,2.84
11,2002,38,84,69,51,49.8,69.5,59.7,2.89,1.22
12,2002,35,77,66,43,46.7,64.8,55.7,4.84,1.33
1,2003,28,77,62,42,42.1,60,51,1.8,0.76
2,2003,33,78,67,44,47.2,62.6,54.9,2.8,0.89
3,2003,35,79,64,57,52.7,71.2,62,1.27,0.72
4,2003,42,88,72,69,61.8,79.2,70.5,1.64,1.55
5,2003,64,96,77,83,72.1,89.5,80.8,0,0
6,2003,69,97,78,83,73.8,90.6,82.2,7.08,2.04
7,2003,71,95,78,85,75.2,90.3,82.7,5.7,1.1
8,2003,70,102,79,81,75.6,92.5,84,5.61,2.05
9,2003,57,91,76,76,69.9,86,78,8.79,1.88
10,2003,49,90,75,64,62.5,81.5,72,4.46,3.16
11,2003,34,86,71,54,55.7,75.6,65.6,2.94,1.37
12,2003,33,77,62,54,44,65.4,54.7,3.06,1.49
1,2004,32,77,67,45,48.3,63.2,55.7,3.88,0.9
2,2004,34,76,59,45,46.4,61.9,54.2,5.85,1.32
3,2004,49,84,69,66,59.1,75.1,67.1,0.92,0.57
4,2004,45,84,73,57,60.7,78.2,69.5,3.46,0.96
5,2004,53,94,80,73,68.4,84.4,76.4,6.61,2.1
6,2004,68,94,79,77,74.4,88.2,81.3,9.67,1.77
7,2004,72,96,80,85,75.6,91.6,83.6,3.22,1.25
8,2004,66,97,79,87,74.4,91.8,83.1,4.6,2.46
9,2004,68,97,77,81,73.2,90,81.6,2.75,0.8
10,2004,52,92,78,73,69.4,85.6,77.5,2.76,1.09
11,2004,41,82,69,56,55.3,72.8,64.1,10.48,3.36
12,2004,28,82,63,39,46.7,66.6,56.6,1.93,0.72
1,2005,34,80,66,50,49,66.5,57.8,0.96,0.32
2,2005,42,81,67,47,52.9,66.5,59.7,4.22,1.15
3,2005,41,84,67,53,53.3,72.5,62.9,3.62,1.35
4,2005,45,86,71,67,59.1,78.6,68.8,0.88,0.64
5,2005,52,96,74,76,66.7,85.7,76.2,2.18,1.48
6,2005,68,97,78,87,74.7,92.6,83.7,0.37,0.26
7,2005,72,100,79,80,75.5,92.6,84.1,12.96,3.26
8,2005,74,98,79,89,76.9,93.7,85.3,2.54,1.09
9,2005,53,100,79,83,75.2,93.2,84.2,1.47,0.82
10,2005,43,92,78,68,62.4,82.9,72.6,1.35,0.71
11,2005,39,87,71,58,55.4,75.8,65.6,2.91,2.02
12,2005,34,83,66,42,45,65.2,55.1,2.27,1.59
1,2006,35,82,65,58,49.8,70.8,60.3,1.92,0.75
2,2006,30,79,67,40,46.9,67.3,57.1,1.62,0.57
3,2006,37,83,72,56,57.5,75,66.2,1.48,0.81
4,2006,54,90,72,71,64.5,82.6,73.6,2.23,1.33
5,2006,56,91,75,77,67.7,86.1,76.9,6.02,3.99
6,2006,69,99,76,80,72.6,90.3,81.5,11.02,9.28
7,2006,73,96,78,78,75.3,89.5,82.4,7.76,2.8
8,2006,70,97,80,87,76.6,92.4,84.5,2.92,1.93
9,2006,60,93,81,79,70.6,88.7,79.7,3.08,0.78
10,2006,50,93,77,70,64.7,83,73.9,19.25,6.95
11,2006,37,87,68,63,53.3,74.3,63.8,0.87,0.5
12,2006,32,81,65,49,48,65.5,56.8,3.95,1.82
1,2007,33,79,69,38,45.1,59.1,52.1,6.73,1.79
2,2007,29,80,63,47,46.7,65.9,56.3,1.35,1.08
3,2007,36,81,71,61,58.3,75.4,66.8,8.78,3.09
4,2007,38,86,73,55,59,76.4,67.7,4.76,2.46
5,2007,62,92,77,79,69.1,84.7,76.9,9.62,3.36
6,2007,70,94,80,82,75.3,89.7,82.5,5.58,2.13
7,2007,71,95,79,79,75.5,88.7,82.1,9.94,2.16
8,2007,73,102,82,83,78,93.4,85.7,7.23,2.04
9,2007,70,94,79,82,74.5,90.1,82.3,6.28,1.61
10,2007,46,92,77,71,64.1,84.3,74.2,1.82,0.69
11,2007,40,86,69,50,55.6,74.2,64.9,4.33,3.05
12,2007,34,83,73,54,49.6,70.8,60.2,1.64,0.68
1,2008,32,80,69,47,45.5,62.8,54.2,6.55,1.84
2,2008,35,83,69,59,51.7,72.3,62,3.99,1.63
3,2008,39,90,72,54,55.2,74.6,64.9,2.95,1.07
4,2008,47,87,72,71,61.7,80.7,71.2,1.89,1.05
5,2008,59,95,80,73,71.4,87.6,79.5,0.99,0.78
6,2008,70,97,80,88,75.8,93.5,84.7,8.2,2.86
7,2008,74,97,79,87,76.4,93,84.7,4.03,1.03
8,2008,72,100,81,81,75.9,91.5,83.7,8.27,1.99
9,2008,62,97,79,78,70.6,87.7,79.2,10.95,8.08
10,2008,43,88,75,67,60.3,80.8,70.5,2.62,0.73
11,2008,37,84,67,59,53.5,73.9,63.7,4.97,1.74
12,2008,32,80,71,44,47.2,66.9,57,0.85,0.25
1,2009,32,82,68,49,43.6,66.9,55.3,0.37,0.3
2,2009,36,83,68,58,52.3,71.8,62.1,1.18,0.7
3,2009,36,84,70,47,54.1,72.9,63.5,2.51,1.24
4,2009,40,90,73,64,60.6,78.5,69.6,15.6,5.15
5,2009,59,93,77,80,70.6,86.9,78.7,0.65,0.5
6,2009,67,102,80,87,74.8,94.8,84.8,1.39,0.93
7,2009,71,103,81,89,77.4,96.1,86.7,3.62,1.95
8,2009,71,101,80,89,76.9,95.5,86.2,1.6,1.33
9,2009,66,94,76,78,72.6,87.3,80,5.28,2.55
10,2009,48,92,81,65,63.8,80.6,72.2,11.52,2.24
11,2009,41,80,67,59,53.3,72.8,63.1,1.88,0.7
12,2009,27,77,66,47,43.4,58.9,51.1,6.96,2.71
1,2010,21,78,64,34,40.9,59.1,50,2.3,1.32
2,2010,31,71,55,41,40.9,57.6,49.3,3.38,1.29
3,2010,37,79,63,58,50.1,69.4,59.7,2.03,0.63
4,2010,47,85,72,67,61.7,77.7,69.7,1.06,0.59
5,2010,57,97,77,79,70.5,88.5,79.5,1.71,1.01
6,2010,70,97,79,82,76.6,91.6,84.1,5.06,1.99
7,2010,74,97,79,83,77,90.9,84,12.76,4.97
8,2010,74,99,81,89,78.3,95.5,86.9,1.4,0.94
9,2010,60,95,78,80,73.5,89.1,81.3,6.63,2.83
10,2010,47,92,76,75,61.8,84.2,73,0.07,0.07
11,2010,33,86,71,55,52.4,71.7,62.1,4.75,3.11
12,2010,32,82,68,49,47.5,66.5,57,5.84,4.45
1,2011,30,76,58,42,44.7,62.4,53.5,4.1,2.3
2,2011,23,82,70,33,46.5,67,56.8,0.36,0.2
3,2011,44,86,71,68,58.6,77,67.8,0.78,0.56
4,2011,51,94,76,76,65.6,84.4,75,0.01,0.01
5,2011,53,97,79,75,69.1,87.7,78.4,0.19,0.18
6,2011,70,102,81,84,76,95.8,85.9,1.79,1.09
7,2011,72,99,80,87,77.3,95.5,86.4,3.27,0.8
8,2011,75,106,81,91,78.5,99.7,89.1,0.79,0.79
9,2011,63,101,80,87,71.9,93.9,82.9,1.72,0.95
10,2011,46,88,76,61,62.3,82.2,72.3,3.94,3.62
11,2011,32,84,74,54,54.7,74,64.4,2.5,1.1
12,2011,31,79,66,46,48.5,63.9,56.2,4.27,1.17
1,2012,31,79,64,54,50.1,69.2,59.7,5.38,4.06
2,2012,35,82,70,45,53.7,67.4,60.6,6.82,2.57
3,2012,43,85,72,59,61.2,77.8,69.5,4.98,1.33
4,2012,53,87,75,76,65,82.7,73.9,2.05,1.04
5,2012,66,92,77,74,70.3,87.1,78.7,7.44,3.6
6,2012,70,102,82,85,75.6,92.6,84.1,2.78,1.31
7,2012,72,95,79,80,76.1,89.9,83,8.16,1.79
8,2012,74,99,82,87,77.9,94.1,86,3.04,1.68
9,2012,61,95,77,73,70.5,88.2,79.3,3.98,1.17
10,2012,44,88,71,65,60.1,80.8,70.5,0.7,0.7
11,2012,43,88,64,61,53.5,76.4,64.9,0.8,0.31
12,2012,34,84,69,49,50.6,70.9,60.8,5.72,1.8
1,2013,31,80,70,44,47.5,65.4,56.4,3.13,1.15
2,2013,39,79,62,58,51.1,69.6,60.4,1.63,0.72
3,2013,35,89,69,58,52,72.9,62.5,1.18,0.62
4,2013,43,83,72,58,57.6,76,66.8,9.56,6.05
5,2013,46,91,79,69,67.2,83.6,75.4,2.96,2.65
6,2013,70,105,79,86,75.2,94.3,84.8,1.36,0.51
7,2013,71,101,79,85,75.8,93.9,84.8,1.58,0.43
8,2013,72,100,79,84,75.7,94.6,85.1,1.47,0.52
9,2013,67,97,79,79,75.1,90.8,82.9,5.95,1.69
10,2013,50,93,75,72,63.8,81.4,72.6,9.79,2.72
11,2013,34,85,71,45,50.7,68.3,59.5,3.58,1.82
12,2013,32,81,67,39,43.6,61.7,52.7,0.87,0.67
1,2014,25,77,58,36,39.8,62.5,51.1,0.53,0.19
2,2014,31,81,65,40,47.2,64.5,55.9,2.09,0.53
3,2014,28,84,66,39,50.7,69.1,59.9,2.54,0.93
4,2014,43,93,74,64,60.9,78.4,69.7,1.31,0.8
5,2014,50,88,76,72,65.2,83.2,74.2,10.37,3.24
6,2014,69,93,79,81,75,89.7,82.3,2.98,1.45
7,2014,73,97,78,85,75.6,92.2,83.9,1.26,0.43
8,2014,72,98,79,83,76.7,93.3,85,3.44,1.5
9,2014,66,96,79,77,73.7,88.3,81,4.99,1.52
10,2014,53,92,79,77,63.9,84.5,74.2,2.56,1.03
11,2014,34,82,68,47,49.9,67.8,58.9,4.44,1.69
12,2014,36,79,64,46,50.9,65.5,58.2,4.61,2.37
