Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
2,1955,26,79,65,42,46.9,65.3,56.1,6.03,2.6
3,1955,31,88,71,42,54.5,74.8,64.6,0.93,0.76
4,1955,50,90,70,63,62.4,80,71.2,3.51,1.54
5,1955,59,95,76,78,67.3,86.6,77,3.54,1.72
6,1955,57,95,74,76,69.1,89.7,79.4,1.56,0.79
7,1955,72,98,77,87,74.4,91.8,83.1,2.01,0.76
8,1955,70,98,77,82,74.1,91.5,82.8,10.1,2.12
9,1955,66,92,76,79,72.9,87.6,80.3,5.34,1.71
10,1955,43,92,74,73,59.1,82.2,70.6,0.63,0.39
11,1955,32,87,73,47,51.8,71.1,61.5,1.06,0.34
12,1955,27,81,67,50,46.6,65.7,56.2,1.6,1.32
1,1956,32,80,67,46,44.5,64,54.3,3.96,1.66
2,1956,33,82,69,37,50,68.3,59.1,2.42,0.67
3,1956,32,86,68,50,52.4,72.7,62.5,0.78,0.55
4,1956,43,85,73,64,58.5,76.9,67.7,1.84,0.6
5,1956,59,92,75,78,67.7,86.9,77.3,3.32,1.61
6,1956,65,98,75,82,70.8,90.7,80.8,4.07,1.42
7,1956,72,99,76,85,73.5,95,84.2,0.38,0.14
8,1956,67,100,79,81,74.1,93.5,83.8,0.38,0.25
9,1956,58,101,75,76,69,91.3,80.1,1.88,0.81
10,1956,51,95,70,77,62.2,84.4,73.3,2.66,1.53
11,1956,31,86,66,53,48.4,71.4,59.9,1.52,1.03
12,1956,35,81,66,46,48.8,69.1,58.9,5.11,1.11
1,1957,25,83,65,42,49.7,66,57.9,0.91,0.32
2,1957,38,85,68,52,55,70.7,62.8,2.46,0.98
3,1957,34,84,66,54,52.5,69.9,61.2,11.42,5
4,1957,46,84,73,61,61.8,75.4,68.6,8.07,2.68
5,1957,53,90,77,71,68.9,84,76.5,1.87,0.98
6,1957,68,93,77,79,73.1,87.8,80.4,3.96,0.73
7,1957,73,99,78,90,75.5,95.3,85.4,0.84,0.61
8,1957,69,99,78,80,74.4,93.1,83.7,3.23,0.99
9,1957,58,96,77,72,69,84.8,76.9,8.29,3.33
10,1957,37,88,72,54,59.1,76.6,67.8,11.53,5.42
11,1957,35,85,73,41,53,69.6,61.3,6.7,1.25
12,1957,23,76,62,50,47.2,67.4,57.3,1.83,0.81
1,1958,29,74,55,47,41,59.6,50.3,4.69,1.5
2,1958,26,75,60,37,42.3,57.5,49.9,3.59,1.32
3,1958,37,81,63,50,48.5,67.1,57.8,1.47,0.52
4,1958,48,88,72,66,60.1,78.2,69.2,2.58,1.04
5,1958,58,96,74,77,68.4,86,77.2,2.4,1.05
6,1958,70,98,80,84,74.9,91.9,83.4,0.47,0.31
7,1958,72,99,79,87,75.8,93.7,84.8,6.04,1.89
8,1958,71,100,79,84,75.4,93,84.2,3.16,0.99
9,1958,65,91,78,77,73.4,86,79.7,15.4,2.67
10,1958,50,89,73,54,62.2,76.9,69.6,2.03,0.61
11,1958,31,84,75,49,53.9,71,62.5,1.32,0.39
12,1958,29,78,58,46,43,62.1,52.5,0.78,0.33
1,1959,22,76,61,36,40.5,60.1,50.3,2.7,2.14
2,1959,35,80,66,40,48.7,63.9,56.3,11.33,3.09
3,1959,38,83,64,59,50.1,70.4,60.3,1.58,0.95
4,1959,44,88,70,62,58.9,74.5,66.7,7.76,3.08
5,1959,60,93,74,77,68.9,84.9,76.9,6.2,3.58
6,1959,70,96,78,84,74.1,90.5,82.3,2.78,1.44
7,1959,70,95,77,76,74.5,90.1,82.3,9.67,3.98
8,1959,70,96,78,78,75.1,89.5,82.3,8.45,3.33
9,1959,60,95,77,79,72,88.2,80.1,4.76,2.6
10,1959,49,90,76,69,63,81.3,72.1,5.76,2.84
11,1959,28,84,70,47,45.2,66.4,55.8,1.9,0.96
12,1959,30,75,61,53,46.4,63.6,55,5.34,2.13
1,1960,29,76,68,41,44.1,59.5,51.8,2.05,0.53
2,1960,26,75,64,42,41,58.4,49.7,3.93,1.2
3,1960,31,82,65,46,48.9,65.8,57.4,0.38,0.13
4,1960,48,85,70,68,61.5,78,69.7,1.42,0.88
5,1960,53,92,75,74,64.6,83.2,73.9,0.9,0.31
6,1960,68,98,76,80,73.1,91.7,82.4,14.66,6.57
7,1960,70,98,79,83,75.5,93.8,84.7,2.34,0.71
8,1960,70,96,78,81,75.2,89.5,82.3,7.42,1.67
9,1960,60,94,76,79,69.3,89.6,79.5,0.61,0.46
10,1960,48,90,72,65,63.5,82.8,73.2,7.32,1.67
11,1960,34,85,71,53,55.2,73.3,64.2,3.69,1.15
12,1960,30,80,66,42,44.5,61,52.8,8.97,1.8
1,1961,28,76,58,38,40.1,58.9,49.5,4.44,1.72
2,1961,31,82,68,46,47.5,68.2,57.8,3.88,1.59
3,1961,42,84,71,66,57.3,76.2,66.7,1.84,1.2
4,1961,39,88,73,66,57.7,78.3,68,2.42,0.68
5,1961,53,93,77,76,67.2,86.8,77,3.59,2.34
6,1961,67,92,76,78,72.2,88.6,80.4,11.11,5.63
7,1961,72,93,77,78,75.1,90.1,82.6,10.07,2.42
8,1961,66,96,77,86,73,91.3,82.2,4.17,1.26
9,1961,59,96,79,75,71.1,88.2,79.7,7.89,4.03
10,1961,45,92,73,70,58.6,82.4,70.5,0.05,0.04
11,1961,38,87,69,54,50.1,69.4,59.8,10.2,4.05
12,1961,30,81,65,46,45.8,66.7,56.3,3.31,1.21
1,1962,17,80,57,29,38,60.6,49.3,1.73,0.72
2,1962,33,87,67,43,53.2,74.6,63.9,0.71,0.25
3,1962,32,85,61,37,47.4,70.4,58.9,0.94,0.72
4,1962,38,88,73,68,58.2,77.9,68.1,4.81,1.55
5,1962,55,91,75,78,65.2,86.1,75.6,1.15,0.66
6,1962,66,92,75,78,71.4,88.2,79.8,7.4,2.13
7,1962,69,98,78,88,73.8,94.4,84.1,0.07,0.04
8,1962,68,106,77,89,75,96.8,85.9,2.77,1.84
9,1962,61,96,77,81,72.1,90.4,81.2,3.97,1.12
10,1962,51,96,77,69,64.3,84.9,74.6,3.12,1.19
11,1962,37,84,61,50,49.9,70.3,60.1,5.68,2.75
12,1962,26,80,59,40,45.8,63.7,54.7,4.78,1.68
1,1963,17,83,62,31,38.5,58.1,48.3,3.09,2.38
2,1963,25,82,67,45,40.9,64.2,52.6,2.6,1.62
3,1963,34,85,67,62,54.2,75.5,64.9,0.55,0.26
4,1963,47,93,73,68,64.9,84.1,74.5,0.92,0.69
5,1963,59,93,75,75,66.6,88.3,77.5,0.62,0.57
6,1963,68,100,75,83,71.5,92.5,82,7.79,2.7
7,1963,72,98,79,85,75.1,93.5,84.3,2.08,1.26
8,1963,67,99,77,89,73.8,94.8,84.3,1.85,0.8
9,1963,55,98,77,78,71.1,89.7,80.4,1.94,0.48
10,1963,50,92,68,76,63.1,86.8,75,0.3,0.14
11,1963,35,88,66,60,54,74.1,64,5.72,1.57
12,1963,19,79,56,35,36.9,57.2,47.1,4.83,1.79
1,1964,21,74,62,36,41.9,61.2,51.5,2.89,1
2,1964,27,74,52,49,40.2,58.6,49.4,4.97,2.16
3,1964,35,78,65,62,50.2,70.6,60.4,2.24,1.13
4,1964,46,88,73,66,62.1,78.2,70.2,1.63,0.81
5,1964,56,92,72,77,67.1,84.4,75.8,2.25,0.88
6,1964,59,96,78,78,71.3,89.4,80.4,1.89,0.94
7,1964,70,101,77,84,73.6,93.8,83.7,1.68,0.87
8,1964,73,100,77,85,75.1,93.6,84.4,2.61,1.1
9,1964,63,96,77,70,71.1,87.5,79.3,6.76,1.9
10,1964,38,89,72,70,55.9,79.6,67.7,2.35,1.19
11,1964,34,85,72,51,55,75,65,4.28,2.29
12,1964,31,82,68,42,46.3,65.5,55.9,5.57,3.26
1,1965,23,82,65,44,44.5,67.5,56,1.87,0.78
2,1965,26,80,64,44,45.2,64.9,55,3.27,1.42
3,1965,28,85,67,50,47.7,69.7,58.7,0.81,0.31
4,1965,50,87,73,74,64.3,82.6,73.5,0.95,0.72
5,1965,54,89,76,79,69.1,85.1,77.1,6.53,2.73
6,1965,67,95,77,87,74.1,91.9,83,3.06,1.68
7,1965,74,100,78,86,75.3,94.9,85.1,1.57,0.51
8,1965,69,98,76,83,73.8,93.1,83.5,2.29,0.53
9,1965,60,97,77,66,71.8,90.5,81.2,3.56,0.98
10,1965,45,89,72,68,58.9,79.8,69.4,3.09,1.5
11,1965,39,86,70,65,60.2,78,69.1,4.82,1.68
12,1965,37,79,68,51,49.9,67.9,58.9,6.15,2.13
1,1966,20,78,66,38,40.2,56.5,48.3,4.46,0.94
2,1966,30,73,61,47,43.6,62,52.8,7.75,3.71
3,1966,33,85,65,60,51.3,71.6,61.5,2.2,1.76
4,1966,46,86,73,66,61.8,79.3,70.5,7.98,5.18
5,1966,60,92,73,69,68.4,83.4,75.9,11.21,4.21
6,1966,61,94,75,83,71,88.9,80,4.42,1.52
7,1966,70,97,78,87,75.7,92.8,84.2,1.45,0.59
8,1966,66,95,78,77,74.6,90.1,82.4,7.11,2.45
9,1966,61,94,75,84,69.8,89.4,79.6,4.01,2.34
10,1966,43,93,75,66,59.3,80.1,69.7,5.45,2.78
11,1966,33,84,65,53,54.4,75,64.7,1.56,1.38
12,1966,25,81,68,46,43.7,64.7,54.2,1.53,0.54
1,1967,26,83,65,40,44.1,65.7,54.9,2.41,1.53
2,1967,28,80,57,49,42.3,66.7,54.5,2.17,1.83
3,1967,33,88,70,60,56.6,78.5,67.5,1.83,1.68
4,1967,57,91,75,77,66.8,84.6,75.7,4.42,2.23
5,1967,52,94,78,72,66,85.8,75.9,2.54,1.22
6,1967,67,99,76,85,72,93.1,82.5,0.17,0.17
7,1967,64,97,76,82,72.7,91.5,82.1,7.77,2
8,1967,64,97,75,78,72.5,89.6,81.1,1.6,0.65
9,1967,50,92,81,72,69.1,86,77.5,4.84,2.2
10,1967,43,89,71,68,58.6,82.4,70.5,3.18,1.99
11,1967,38,86,69,56,53.7,74.5,64.1,0.5,0.42
12,1967,30,81,70,50,46.6,64.1,55.4,5.02,2.52
1,1968,28,80,64,36,44.7,60.6,52.7,8.02,3.41
2,1968,29,77,54,40,39.9,60.8,50.4,1.99,0.61
3,1968,29,82,66,49,48.3,69.6,58.9,2.92,1.17
4,1968,46,87,71,70,62.3,79.9,71.1,3.02,2.58
5,1968,55,91,76,77,67.5,85.1,76.3,13.24,6.35
6,1968,68,94,77,80,73.2,87.7,80.5,11.18,3.32
7,1968,69,93,78,83,74.5,90.4,82.4,6.49,1.63
8,1968,67,96,78,88,75.1,92.8,83.9,2.9,1.24
9,1968,60,93,76,79,69.5,87.6,78.5,3.87,1.44
10,1968,47,93,73,73,63.3,83.7,73.5,3.91,1.58
11,1968,32,85,67,51,48.3,71,59.7,2.71,0.85
12,1968,32,78,62,53,45.1,66.2,55.6,1.19,0.38
1,1969,27,80,69,47,48,65.4,56.7,2.74,1.57
2,1969,36,81,62,51,48.5,65.3,56.9,5.31,2.56
3,1969,34,80,59,48,46.8,65.3,56.1,3.18,1.27
4,1969,52,86,71,71,61.1,79.4,70.3,3.34,1.94
5,1969,56,90,71,75,66.5,84.2,75.3,4.73,1.19
6,1969,59,99,82,70,71.8,90.8,81.3,1.89,1.15
7,1969,72,99,80,86,75.6,95.1,85.3,3.92,1.75
8,1969,72,101,79,87,75.7,95.2,85.4,2.37,1.09
9,1969,63,97,76,85,71.4,90.8,81.1,4.15,1.36
10,1969,49,92,79,70,64.6,83.2,73.9,4.41,1.96
11,1969,28,87,69,54,49,72.7,60.8,1.5,0.81
12,1969,28,79,64,44,46.2,67.7,57,4.75,2.8
1,1970,19,82,65,40,39.4,57.9,48.6,2.49,0.9
2,1970,28,81,60,51,45.6,67.7,56.6,3.02,1.14
3,1970,35,79,66,47,49.2,69,59.1,5.23,1.14
4,1970,43,90,77,67,63.4,80.9,72.2,2.8,1.92
5,1970,53,88,74,67,65,81.7,73.4,14.84,4.22
6,1970,58,95,80,81,71.5,89.6,80.5,1.54,1.25
7,1970,70,99,77,85,74.4,92.7,83.5,3.51,0.84
8,1970,67,98,78,88,74.8,93.5,84.2,2.38,1.09
9,1970,60,95,78,75,73.1,88.5,80.8,9.86,2.7
10,1970,46,90,73,68,58.9,79.7,69.3,8.37,3.89
11,1970,30,83,65,48,47.2,71.1,59.2,1.78,1.1
12,1970,33,84,68,51,52,72.7,62.4,0.49,0.2
1,1971,28,84,66,37,48,69,58.5,0.2,0.08
2,1971,26,83,64,49,46,69.5,57.8,1.54,0.54
3,1971,28,90,68,55,50,75.1,62.5,1.36,0.66
4,1971,41,87,71,65,58,78.2,68.1,1.8,1.21
5,1971,52,91,74,73,66.1,83.5,74.8,2.12,1.35
6,1971,66,96,76,82,71.4,90.9,81.2,1.83,0.75
7,1971,71,99,78,85,73.6,94.4,84,3.38,1.9
8,1971,69,95,76,77,73.2,89.6,81.4,7.21,1.74
9,1971,59,96,76,69,72.2,86.8,79.5,7.36,2.65
10,1971,52,90,75,75,65.5,82.9,74.2,2.1,0.99
11,1971,41,86,69,53,52.8,73.2,63,2.29,1.61
12,1971,40,82,71,46,53.9,69.8,61.9,5.72,2.53
1,1972,25,85,68,43,49,68.9,58.9,3.83,1.45
2,1972,28,83,62,47,47.3,68.6,57.9,2.02,1.44
3,1972,40,91,69,60,55.5,76.4,66,0.92,0.64
4,1972,45,90,73,68,62.9,83.4,73.2,6.98,6.2
5,1972,60,92,71,70,66.8,84.3,75.5,7.62,2.44
6,1972,67,95,78,81,73.1,90.9,82,5.92,3.62
7,1972,70,95,79,83,74.2,90.2,82.2,5.55,1.03
8,1972,69,95,76,88,73.8,92.2,83,2.08,1.13
9,1972,59,97,78,75,74.1,90.5,82.3,7.14,1.94
10,1972,51,92,76,60,62.7,81.4,72.1,1.69,0.8
11,1972,36,85,68,46,48.2,64.9,56.6,8.39,2.1
12,1972,28,84,65,47,43.6,65.7,54.7,1.22,0.43
1,1973,21,80,61,34,40.6,58.7,49.7,4.53,1.25
2,1973,26,80,55,39,42.8,64.2,53.5,3.5,1.02
3,1973,45,84,71,66,56.8,75.2,66,4.59,2.66
4,1973,38,87,72,58,57.6,74.8,66.2,10.49,4.5
5,1973,52,97,76,74,65.5,85.2,75.4,3.6,1.57
6,1973,67,93,78,74,73.1,88,80.6,14.71,5.9
7,1973,71,96,78,86,75.4,92.6,84,9.4,7.07
8,1973,70,93,76,81,73.9,89.1,81.5,4.13,1.3
9,1973,64,92,78,79,72.7,87.4,80,9.53,4.62
10,1973,52,91,75,73,65,82.9,74,12.47,3.38
11,1973,40,90,75,63,59.3,80,69.7,0.38,0.37
12,1973,23,82,58,46,43.4,67.6,55.5,3.26,1.48
1,1974,31,80,69,39,48.9,65.6,57.3,4.76,0.86
2,1974,31,81,65,49,46.7,69.9,58.3,1.43,1.25
3,1974,42,91,71,50,59.5,76.5,68,4.54,2.35
4,1974,45,89,73,59,60.4,79.1,69.8,2.61,0.85
5,1974,61,93,78,71,69.7,86.4,78,7.93,3.38
6,1974,64,97,81,82,71.9,90.1,81,2.06,1.59
7,1974,70,97,78,79,73.8,92.8,83.3,4.99,1.26
8,1974,71,95,84,85,74.9,91.1,83,8.84,1.62
9,1974,53,94,75,71,67.8,84.7,76.2,4.48,1.92
10,1974,49,91,77,72,63.2,83.3,73.2,6,3.68
11,1974,31,84,74,50,52.8,71.1,61.9,7.14,2.6
12,1974,32,83,66,50,46.3,66.1,56.2,3.19,1.12
1,1975,25,83,70,45,48.7,68.5,58.6,3.48,1.26
2,1975,27,82,65,48,46.7,68.1,57.4,1.02,0.48
3,1975,34,87,72,50,53.6,72.3,63,2.33,0.93
4,1975,40,87,74,65,61.4,77.3,69.4,4.66,1.77
5,1975,62,90,77,78,69.1,85,77.1,7.14,1.91
6,1975,59,95,79,80,72.9,89.9,81.4,10.06,4.85
7,1975,70,97,77,83,74.1,92,83,2.79,1
8,1975,69,94,82,85,74.1,90.3,82.2,7.52,4.16
9,1975,54,95,76,79,67.7,86.9,77.3,0.64,0.55
10,1975,47,93,72,63,60.1,82.6,71.4,6.21,4.7
11,1975,30,87,70,55,50.8,73.9,62.4,1.49,0.88
12,1975,31,84,67,44,44.2,64.2,54.2,1.73,0.88
1,1976,21,75,63,43,40.9,64,52.5,2.1,0.85
2,1976,31,82,68,52,49.4,73.5,61.5,0.43,0.43
3,1976,39,84,70,53,56.3,72.2,64.3,3.4,1.18
4,1976,44,84,70,68,60.7,79,69.9,3.52,1.48
5,1976,50,91,72,74,62,82.9,72.5,3.85,1.3
6,1976,63,92,77,77,70.6,88.1,79.4,15.5,5.75
7,1976,71,96,77,77,74.5,89.7,82.1,10.35,2.48
8,1976,69,98,77,87,72.9,92.9,82.9,3.78,1.72
9,1976,60,95,75,78,70,88,79,7.43,1.45
10,1976,40,85,69,52,52.6,71.8,62.2,4.81,1.62
